4.8203e-07 8.7363e-07 1.2083e-06 1.5583e-06 1.8239e-06 1.8771e-06 1.6711e-06 1.3994e-06 1.4237e-06 1.7664e-06 2.0794e-06 2.521e-06 2.8398e-06 3.1433e-06 3.7658e-06 4.3346e-06 5.0671e-06 5.8884e-06 6.8914e-06 8.0572e-06 9.4257e-06 1.1017e-05 1.2907e-05 1.5104e-05 1.7591e-05 2.0498e-05 2.3735e-05 2.7448e-05 3.1476e-05 3.5819e-05 3.9686e-05 4.3794e-05 4.6552e-05 4.7748e-05 4.5756e-05 4.0015e-05
6.7126e-07 1.2166e-06 1.6826e-06 2.17e-06 2.5399e-06 2.614e-06 2.3271e-06 1.9486e-06 1.9825e-06 2.4597e-06 2.8954e-06 3.5102e-06 3.9539e-06 4.376e-06 5.2422e-06 6.0331e-06 7.0514e-06 8.192e-06 9.5839e-06 1.1199e-05 1.3092e-05 1.5287e-05 1.7884e-05 2.0888e-05 2.426e-05 2.8162e-05 3.2437e-05 3.7233e-05 4.2255e-05 4.7422e-05 5.1462e-05 5.5161e-05 5.6195e-05 5.4196e-05 4.7292e-05 3.5701e-05
9.3476e-07 1.6942e-06 2.3431e-06 3.0219e-06 3.5369e-06 3.64e-06 3.2405e-06 2.7134e-06 2.7606e-06 3.4249e-06 4.0315e-06 4.8872e-06 5.5046e-06 6.0917e-06 7.2964e-06 8.3956e-06 9.81e-06 1.1393e-05 1.3321e-05 1.5555e-05 1.8166e-05 2.1181e-05 2.4731e-05 2.8807e-05 3.3331e-05 3.8487e-05 4.3999e-05 4.998e-05 5.5894e-05 6.1508e-05 6.4797e-05 6.6601e-05 6.3746e-05 5.6031e-05 4.2188e-05 2.4774e-05
1.3017e-06 2.3592e-06 3.2629e-06 4.2081e-06 4.9252e-06 5.0687e-06 4.5124e-06 3.7783e-06 3.8438e-06 4.7688e-06 5.6131e-06 6.804e-06 7.6627e-06 8.4787e-06 1.0154e-05 1.168e-05 1.3643e-05 1.5835e-05 1.8503e-05 2.1583e-05 2.517e-05 2.929e-05 3.4106e-05 3.9576e-05 4.5548e-05 5.2203e-05 5.906e-05 6.6108e-05 7.2409e-05 7.7473e-05 7.8194e-05 7.5574e-05 6.5843e-05 5.0011e-05 2.9271e-05 1.035e-05
1.8127e-06 3.2853e-06 4.5437e-06 5.8598e-06 6.8585e-06 7.0582e-06 6.2833e-06 5.2609e-06 5.352e-06 6.6395e-06 7.8145e-06 9.4716e-06 1.0665e-05 1.1799e-05 1.4126e-05 1.6243e-05 1.8963e-05 2.1994e-05 2.5673e-05 2.9905e-05 3.4806e-05 4.0393e-05 4.6855e-05 5.4081e-05 6.1778e-05 7.0069e-05 7.8111e-05 8.5631e-05 9.1055e-05 9.3541e-05 8.8657e-05 7.81e-05 5.8673e-05 3.4741e-05 1.2226e-05 1.0408e-06
2.5243e-06 4.5749e-06 6.3272e-06 8.1599e-06 9.5504e-06 9.8283e-06 8.749e-06 7.3251e-06 7.4514e-06 9.2435e-06 1.0878e-05 1.3183e-05 1.4842e-05 1.6414e-05 1.9644e-05 2.2577e-05 2.6338e-05 3.0516e-05 3.5571e-05 4.1353e-05 4.7998e-05 5.549e-05 6.4025e-05 7.3349e-05 8.2914e-05 9.2668e-05 0.00010117 0.00010766 0.0001097 0.00010615 9.1501e-05 6.9661e-05 4.0626e-05 1.4563e-05 1.2312e-06 4.5783e-06
3.5151e-06 6.3706e-06 8.8107e-06 1.1363e-05 1.3299e-05 1.3685e-05 1.2182e-05 1.0198e-05 1.0374e-05 1.2867e-05 1.5141e-05 1.8346e-05 2.0648e-05 2.2826e-05 2.7305e-05 3.1357e-05 3.6543e-05 4.228e-05 4.9187e-05 5.7025e-05 6.5935e-05 7.582e-05 8.683e-05 9.844e-05 0.00010964 0.00012001 0.00012718 0.00012967 0.00012411 0.00010971 8.1426e-05 4.8332e-05 1.6891e-05 1.4818e-06 5.4051e-06 1.3249e-05
4.8949e-06 8.8712e-06 1.2269e-05 1.5822e-05 1.8517e-05 1.9055e-05 1.696e-05 1.4198e-05 1.444e-05 1.7909e-05 2.107e-05 2.5523e-05 2.8714e-05 3.1726e-05 3.7924e-05 4.3506e-05 5.0631e-05 5.8463e-05 6.7827e-05 7.8333e-05 9.0087e-05 0.00010282 0.00011652 0.00013017 0.00014198 0.00015085 0.00015314 0.00014667 0.0001278 9.7897e-05 5.6235e-05 2.0209e-05 1.6947e-06 6.2515e-06 1.5613e-05 8.4616e-06
6.8163e-06 1.2353e-05 1.7084e-05 2.2031e-05 2.5783e-05 2.653e-05 2.3612e-05 1.9763e-05 2.0097e-05 2.4922e-05 2.9312e-05 3.5495e-05 3.991e-05 4.4062e-05 5.2619e-05 6.0276e-05 7.001e-05 8.0614e-05 9.3169e-05 0.00010702 0.00012216 0.00013796 0.00015406 0.00016854 0.00017842 0.00018163 0.00017315 0.00015094 0.00011355 6.8005e-05 2.3237e-05 2.0612e-06 7.6854e-06 1.8124e-05 9.9351e-06 1.2481e-06
9.4917e-06 1.7201e-05 2.3789e-05 3.0676e-05 3.5898e-05 3.6935e-05 3.2868e-05 2.7505e-05 2.7965e-05 3.467e-05 4.0763e-05 4.9336e-05 5.5431e-05 6.1131e-05 7.2903e-05 8.3343e-05 9.6536e-05 0.00011073 0.00012729 0.00014511 0.0001639 0.00018238 0.00019943 0.00021177 0.00021475 0.00020532 0.0001781 0.00013401 7.8728e-05 2.8562e-05 2.3248e-06 8.8281e-06 2.1945e-05 1.1429e-05 1.4937e-06 7.3056e-06
